연도,A61 위생학; 의학 및 수의학,B05 무화 또는 분무일반; 액체 또는 타유동성 재료의 표면에의 적용일반,B25 수송구; 휴대용 동력 구동 공구; 휴대용 기구의 손잡이; 작업장 설비; 매니플레이터,C07 유기화학,C12 생화학; 맥주; 주정; 포도주; 미생물학; 효소학; 돌연변이 또는 유전자 공학,C22 야금; 철 또는 비합철금; 합금의 처리 또는 비철금속의 처리,C23 금속재료의 피복; 금속피복재료; 화학적 표면처리; 금속질재료의 확산처리; 진공증착; 스퍼터링; 이온주입법 또는 화학 증착에 의한 피복 일반; 금속질재료의 방식 또는 이물질형성방지일반,G01 측정; 시험,G03 전자사진; 영화; 광파 이외의 파를 사용하는 유사기술; 영화; 사진; 홀로그래피,G06 산술논리연산; 계산; 계수
2015,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2016,101.6855565242662,95.34883720930233,126.91823899371069,100.98510882016036,103.54153251770765,107.17299578059072,120.16632016632016,99.86605647951781,103.99369416710458,103.78622544790133
2017,108.01365882011042,100.31007751937983,123.89937106918238,109.87399770904926,110.14166130070831,100.84388185654008,133.57588357588358,93.71581649737693,106.51602732527587,100.56844135410851
2018,114.48706771287416,128.52713178294576,134.71698113207546,112.00458190148912,115.22858982614295,98.20675105485233,141.995841995842,96.62908806786473,109.66894377299002,102.83713140130945
2019,117.21883173496077,128.06201550387598,174.8427672955975,126.1168384879725,118.57694784288475,101.26582278481013,131.2889812889813,97.5666927112401,103.20546505517605,109.30315180429375
2020,129.45364719558268,128.68217054263567,141.88679245283018,132.0733104238259,131.29426915647136,90.29535864978902,150.3118503118503,107.33340774640028,101.41881240147137,122.94066893366494
2021,132.89741354257484,136.43410852713177,178.36477987421384,142.42840778923252,147.7462974887315,101.47679324894514,160.7068607068607,120.44871079361536,110.19442984760903,148.9011825610313
2022,132.22900319674514,123.87596899224806,196.85534591194968,148.8430698739977,154.73277527366386,111.91983122362869,172.66112266112265,120.18082375265095,112.34892275354701,155.8595137796275
2023,129.70066841034583,114.72868217054264,216.98113207547172,150.79037800687286,156.34256278171281,135.23206751054852,157.1725571725572,130.66190423038287,119.44298476090383,155.0525300715627
2024,125.13077593722754,120.15503875968992,261.3836477987421,147.81214203894618,146.0721184803606,149.57805907172997,140.12474012474013,135.05971648621497,122.33315817130845,157.45317971882454
