IPC코드,분류명,2015,2024,증가율(%),라벨
B25,수송구; 휴대용 동력 구동 공구; 휴대용 기구의 손잡이; 작업장 설비; 매니플레이터,795.0,2078,161.38364779874215,B25 수송구; 휴대용 동력 구동 공구; 휴대용 기구의 손잡이; 작업장 설비; 매니플레이터
G06,산술논리연산; 계산; 계수,19703.0,31023,57.45317971882454,G06 산술논리연산; 계산; 계수
C22,야금; 철 또는 비합철금; 합금의 처리 또는 비철금속의 처리,948.0,1418,49.57805907172996,C22 야금; 철 또는 비합철금; 합금의 처리 또는 비철금속의 처리
C07,유기화학,4365.0,6452,47.81214203894616,C07 유기화학
C12,생화학; 맥주; 주정; 포도주; 미생물학; 효소학; 돌연변이 또는 유전자 공학,3106.0,4537,46.072118480360594,C12 생화학; 맥주; 주정; 포도주; 미생물학; 효소학; 돌연변이 또는 유전자 공학
C23,금속재료의 피복; 금속피복재료; 화학적 표면처리; 금속질재료의 확산처리; 진공증착; 스퍼터링; 이온주입법 또는 화학 증착에 의한 피복 일반; 금속질재료의 방식 또는 이물질형성방지일반,962.0,1348,40.12474012474013,C23 금속재료의 피복; 금속피복재료; 화학적 표면처리; 금속질재료의 확산처리; 진공증착; 스퍼터링; 이온주입법 또는 화학 증착에 의한 피복 일반; 금속질재료의 방식 또는 이물질형성방지일반
G01,측정; 시험,8959.0,12100,35.05971648621498,G01 측정; 시험
A61,위생학; 의학 및 수의학,13764.0,17223,25.13077593722755,A61 위생학; 의학 및 수의학
G03,전자사진; 영화; 광파 이외의 파를 사용하는 유사기술; 영화; 사진; 홀로그래피,1903.0,2328,22.333158171308458,G03 전자사진; 영화; 광파 이외의 파를 사용하는 유사기술; 영화; 사진; 홀로그래피
B05,무화 또는 분무일반; 액체 또는 타유동성 재료의 표면에의 적용일반,645.0,775,20.155038759689923,B05 무화 또는 분무일반; 액체 또는 타유동성 재료의 표면에의 적용일반
