연도,A61 위생학; 의학 및 수의학,B60 차량 일반,C07 유기화학,C08 유기고분자 화합물; 그 제조 또는 화학적 가공; 그에 따르는 조성물,C12 생화학; 맥주; 주정; 포도주; 미생물학; 효소학; 돌연변이 또는 유전자 공학,G01 측정; 시험,G06 산술논리연산; 계산; 계수,H01 기본적 전기소자,H02 전력의 발전; 변환; 배전,H04 전기통신기술
2015,13764.0,6710.0,4365.0,4570.0,3106.0,8959.0,19703.0,21886.0,5060.0,16209.0
2016,13996.0,6327.0,4408.0,4532.0,3216.0,8947.0,20449.0,19568.0,4650.0,15394.0
2017,14867.0,6103.0,4796.0,4314.0,3421.0,8396.0,19815.0,19274.0,4588.0,13872.0
2018,15758.0,6131.0,4889.0,4559.0,3579.0,8657.0,20262.0,20409.0,5127.0,13998.0
2019,16134.0,6485.0,5505.0,4710.0,3683.0,8741.0,21536.0,20718.0,5311.0,16872.0
2020,17818.0,6587.0,5765.0,5034.0,4078.0,9616.0,24223.0,21811.0,5496.0,15152.0
2021,18292.0,6889.0,6217.0,4977.0,4589.0,10791.0,29338.0,23838.0,5427.0,16212.0
2022,18200.0,6828.0,6497.0,4655.0,4806.0,10767.0,30709.0,21879.0,4857.0,17241.0
2023,17852.0,6544.0,6582.0,4598.0,4856.0,11706.0,30550.0,23851.0,5036.0,17332.0
2024,17223.0,6467.0,6452.0,4276.0,4537.0,12100.0,31023.0,24054.0,5206.0,17516.0
