IPC코드,분류명,10년합계,라벨
G06,산술논리연산; 계산; 계수,247608.0,G06 산술논리연산; 계산; 계수
H01,기본적 전기소자,217288.0,H01 기본적 전기소자
A61,위생학; 의학 및 수의학,163904.0,A61 위생학; 의학 및 수의학
H04,전기통신기술,159798.0,H04 전기통신기술
G01,측정; 시험,98680.0,G01 측정; 시험
B60,차량 일반,65071.0,B60 차량 일반
C07,유기화학,55476.0,C07 유기화학
H02,전력의 발전; 변환; 배전,50758.0,H02 전력의 발전; 변환; 배전
C08,유기고분자 화합물; 그 제조 또는 화학적 가공; 그에 따르는 조성물,46225.0,C08 유기고분자 화합물; 그 제조 또는 화학적 가공; 그에 따르는 조성물
C12,생화학; 맥주; 주정; 포도주; 미생물학; 효소학; 돌연변이 또는 유전자 공학,39871.0,C12 생화학; 맥주; 주정; 포도주; 미생물학; 효소학; 돌연변이 또는 유전자 공학
